sword_type,manufacturer,model,price,weight,overall_length,tip_type,link,note
Synthetic Arming Sword,Purpleheart,Pentti Wheel Pommel,$115 ,1.9lbs,102cm/40in,Rounded,http://www.woodenswords.com/product_p/type-iii-short.fuller.htm,
Synthetic Arming Sword,Purpleheart,Pentti Scent Stopper,$115 ,2.3lbs,102cm/40in,Rounded,http://www.woodenswords.com/product_p/type-iii-short.scent.stopper.htm,
Synthetic Arming Sword,Purpleheart,XIV Trainer,$70 ,1.8lbs,94cm/37in,Rounded,http://www.woodenswords.com/product_p/ss.trainer.xiv.htm,
Steel Rondel,Castille,Complete Rondel,$190 ,1lb,45cm,Thickened,http://castillearmory.com/all-products/complete-rondel-dagger/,
Rubber Rondel,Cold Steel,Rondel Training Dagger,$15 ,0.35lbs,43cm,Ball,http://www.coldsteel.com/rubber-rondel-trainer.html,
Steel Rondel,Darkwood,WMA Rondel Dagger,$75 ,1lb,30.5cm,Rolled,http://www.darkwoodarmory.com/index.php?main_page=product_info&cPath=4_52&products_id=485,
Wood Rondel,Purpleheart,Roundel Dagger (Oak),$22 ,0.5lbs,45cm,Ball,http://www.woodenswords.com/Roundel_Dagger_Oak_p/dr-oak.htm,
Wood Rondel,Purpleheart,Roundel Dagger,$35 ,0.5lbs,45cm,Ball,http://www.woodenswords.com/Roundel_Dagger_Cherry_p/dr-ch.htm,
Wood Rondel,Purpleheart,Large Roundels Dagger,$35 ,0.5lbs,45cm,Ball,http://www.woodenswords.com/Roundel_Dagger_Trainer_p/dr-large.htm,
Steel Rondel,SZCO,"16"" Rondel",$45 ,1lb,40.6cm,Rounded,http://www.szco.com/knives/historical-knives/medieval-knives/16-medieval-rondel-dagger,
Steel Rondel,SZCO,"17"" Rondel",$45 ,1lb,43cm,Rounded,http://www.szco.com/knives/historical-knives/medieval-knives/17-medieval-rondel-dagger,
Steel Rondel,SZCO,"18"" Rondel",$45 ,1lb,45cm,Rounded,http://www.szco.com/knives/historical-knives/medieval-knives/18-medieval-rondel-dagger,
Wood Rondel,SPES,39cm Wooden Dagger,$14 ,0.5lbs,39cm,Ball,http://histfenc.com/productcart/wooden-dagger-39-cm,
Wood Rondel,SPES,46cm Wooden Dagger,$14 ,0.5lbs,46cm,Ball,http://histfenc.com/productcart/wooden-dagger-46-cm,
Steel Rapier,Arms and Armor,Training Rapier,$800 ,,,,http://arms-n-armor.com/rapier219.html,
Steel Rapier,Balefire Blades,Various,$450 ,,,,https://balefireblades.com/products/fencing-swords/rapiers-and-sideswords/,Took over for Danelli
Steel Rapier,Black Armoury,HEMA Cup Hilt,$311 ,,,,https://www.blackarmoury.com/en/weapons/184-cup-hilt-rapier-hema-sword-vb.html,
Steel Rapier,Castille,Economy Rapier,$189 ,,,,https://castillearmory.com/product/complete-economy-rapier/,
Steel Rapier,Castille,Basic Clamshell,$316 ,,,,https://castillearmory.com/product/complete-basic-clamshell/,
Steel Rapier,Darkwood,Economy Hilt,$325 ,,,,http://www.darkwoodarmory.com/index.php?main_page=product_info&cPath=2_5&products_id=18&zenid=hf2k5b02gs7vefppuar3lqrf40,
Steel Rapier,Kvetun,Rapier No.1,$204 ,,,,https://www.facebook.com/kvetun/photos/p.1058358840993221/1058358840993221/?type=1&theater,https://kvetun-armoury.com/rapier/rapier-1.html
Steel Rapier,Kvetun,Rapier No.3,$225 ,,,,https://kvetun-armoury.com/rapier/rapier-3.html,
Steel Rapier,Regenyei,Standard Guard,$365 ,,,,http://www.regenyei.com/en_rapier.php,https://hemasupplies.com/product/standard-guard-rapier-rapier/
Steel Rapier,Regenyei,Thibault Guard,$410 ,,,,http://www.regenyei.com/en_rapier.php,https://hemasupplies.com/product/thibault-guard-rapier-rapier-ii/
Steel Rapier,Viktor Berbekutz,Cup Hilt VB,$300 ,,,,https://www.woodenswords.com/Cup_Hilt_Rapier_p/rapier.vb.htm,
